Feature	Gain	Cover	Frequency
ctrx_quarter___r_mcaja_ahorro	0.198166677400094	0.0103921930041116	0.00926538716082065
ctrx_quarter___r_mprestamos_personales	0.0932486540150011	0.00338267638395528	0.00397088021178028
r_mpayroll	0.0464763592873284	0.0200739069578059	0.0105890138980807
cpayroll_trx	0.039966328047643	0.0113115592893992	0.0043017868960953
r_mcaja_ahorro___r_mprestamos_personales	0.0246819586139522	0.0100315661399073	0.0105890138980807
r_mrentabilidad_annual	0.0238917288243431	0.0323386939682812	0.028788881535407
r_mcuentas_saldo	0.0237689480852967	0.000814353378895919	0.00165453342157512
r_mprestamos_personales	0.021381416845568	0.0150884473696734	0.00661813368630046
r_mtarjeta_visa_consumo	0.0204220082235708	0.0170876936954214	0.0132362673726009
ctrx_quarter___cdescubierto_preacordado	0.0191521340090625	0.00381130915605376	0.0043017868960953
ctrx_quarter___ctarjeta_visa	0.012913626153647	0.00630155916602114	0.00595632031767042
cdescubierto_preacordado___ctarjeta_visa	0.0118434256923933	0.00944514705351281	0.00463269358041032
r_mcomisiones_mantenimiento___ccomisiones_mantenimiento	0.0116998724489359	0.00795633099558629	0.00761085373924553
r_mcuentas_saldo___r_mprestamos_personales	0.0116781831698557	0.00991559200886068	0.0086035737921906
ctarjeta_visa___r_mcuentas_saldo	0.011432905616563	0.00643355701221769	0.00661813368630046
r_mactivos_margen	0.0108618065740527	0.015435584980297	0.014228987425546
r_mprestamos_personales___cprestamos_personales	0.0104108728830558	0.0138890552441992	0.00562541363335539
r_mrentabilidad	0.0103565673037092	0.0163896875408996	0.0119126406353408
nulos___r_mcomisiones_mantenimiento	0.00955772682277645	0.00820992510331565	0.00827266710787558
r_Visa_msaldopesos	0.00947371877512321	0.00842971566904877	0.00926538716082065
r_mpasivos_margen	0.00940414951854471	0.0060295805629492	0.00794176042356056
ctarjeta_visa_transacciones	0.00916211604195576	0.00362815892813426	0.00496360026472535
r_Visa_mpagominimo	0.00852283399379187	0.010793403416642	0.0099272005294507
Master_status	0.00820099097447754	0.00641396317988266	0.00297816015883521
cliente_edad	0.00738317842056188	0.0130760655857415	0.0185307743216413
ccajas_consultas	0.00642468868285744	0.0150669237442653	0.00496360026472535
r_mcuentas_saldo___r_mcaja_ahorro	0.00572942296349627	0.00384296419509534	0.00562541363335539
r_tot	0.00538254420515944	0.00193280355024289	0.00330906684315023
r_mcuenta_corriente___r_mcomisiones_mantenimiento	0.00492199372969532	0.00689500913184515	0.00893448047650563
r_mcaja_ahorro___r_Visa_fechaalta	0.00489325263328854	0.0110563956166371	0.0112508272667108
nulos___r_Visa_fechaalta	0.00459897984975978	0.00495328993760477	0.00595632031767042
r_Master_fechaalta	0.00456911771921471	0.0142832347773001	0.0109199205823958
campo1	0.0045562374922048	0.000500710543376853	0.000330906684315023
ctarjeta_visa___ctarjeta_debito	0.00452415936180156	0.000947502668292719	0.000661813368630046
nulos___r_mcuentas_saldo	0.00451800034095012	0.00858855050424785	0.00794176042356056
thomebanking	0.00447065282382661	0.00502334142615645	0.00595632031767042
ctrx_quarter___nulos	0.00422472402174941	0.00893730914105283	0.0119126406353408
ctarjeta_visa___r_Visa_fechaalta	0.00415818786370417	0.0126815386898874	0.00794176042356056
r_mcuenta_debitos_automaticos	0.00412066864319746	0.010648096430885	0.00959629384513567
r_mprestamos_personales___ccomisiones_otras	0.0040942456436068	0.0161543943041463	0.014228987425546
nulos___r_mcuenta_corriente	0.00407337883553948	0.00509933024472954	0.00727994705493051
r_Master_Fvencimiento	0.00400920369269402	0.012382144159891	0.0119126406353408
r_mcuenta_corriente___ccomisiones_mantenimiento	0.00399090211860393	0.00625978557863321	0.00661813368630046
Visa_cconsumos	0.0039320718084752	0.00734713391828621	0.0102581072137657
nulos___ccomisiones_mantenimiento	0.00386962869074933	0.00121389773673997	0.00165453342157512
cproductos	0.00371117745232489	0.0115823028249044	0.0086035737921906
ctarjeta_debito___r_mprestamos_personales	0.00367854303378795	0.00337178591837971	0.00628722700198544
r_mcuentas_saldo___ccomisiones_otras	0.00366483526888127	0.00275828540252672	0.00562541363335539
cdescubierto_preacordado___r_mcuentas_saldo	0.00362957412132027	0.00458139951449751	0.00595632031767042
ctarjeta_debito___r_mcomisiones_mantenimiento	0.00357599694695014	0.0101573950809137	0.0102581072137657
chomebanking_transacciones	0.00355042501913556	0.00657961661727318	0.0102581072137657
cdescubierto_preacordado___r_mcuenta_corriente	0.00350828483532484	0.00328312479196027	0.00463269358041032
r_mcuentas_saldo___r_mcomisiones_mantenimiento	0.00350071249809425	0.00844435636582964	0.00827266710787558
r_mcuentas_saldo___r_Visa_fechaalta	0.00345629111089127	0.00658260779653641	0.00827266710787558
ccomisiones_mantenimiento___r_Visa_fechaalta	0.00341372768844406	0.00627685781468611	0.00529450694904037
ctrx_quarter___r_Visa_fultimo_cierre	0.00336095543751225	0.00397479479255889	0.00794176042356056
cmobile_app_trx	0.00333160887539619	0.00557651661054593	0.00529450694904037
ctrx_quarter___r_Visa_fechaalta	0.00333033927763959	0.00510409040097639	0.00827266710787558
cdescubierto_preacordado___r_mprestamos_personales	0.00314749200746185	0.00249913992339056	0.00397088021178028
r_mcaja_ahorro___r_mcomisiones_mantenimiento	0.00312246325050228	0.00685041804657056	0.00827266710787558
r_Visa_msaldototal	0.00311843262106016	0.00885457247936765	0.00661813368630046
r_Visa_Fvencimiento	0.00307948486401483	0.00834953276686359	0.00761085373924553
r_Visa_mconsumosdolares	0.00288195124418162	0.00666558889867751	0.00827266710787558
cliente_antiguedad	0.00275450684325184	0.00470491270381622	0.00694904037061549
r_Master_mfinanciacion_limite	0.00264797498143842	0.00467278164914996	0.00694904037061549
r_Visa_mconsumospesos	0.00261134965317602	0.00614341905632836	0.00794176042356056
r_mautoservicio	0.00260712104467586	0.0104736045412199	0.0086035737921906
ctarjeta_debito___r_mcuentas_saldo	0.00258843626538787	0.00551807604365043	0.00794176042356056
r_Visa_mfinanciacion_limite	0.00258177950415962	0.00636766744406022	0.0086035737921906
r_mcaja_ahorro_dolares	0.00257359937791341	0.00481565066299135	0.00794176042356056
ccallcenter_transacciones	0.00256711825651068	0.00858175119998715	0.00297816015883521
r_Visa_mpagospesos	0.00256230438628689	0.00618872416503997	0.00827266710787558
r_mtransferencias_emitidas	0.00252528242559521	0.0064498766289721	0.00827266710787558
r_mcuenta_corriente___r_Visa_fechaalta	0.00251651764663078	0.00661469382269764	0.00694904037061549
ccaja_ahorro___cdescubierto_preacordado	0.00250304158252941	0.00151789803953737	0.000992720052945069
r_mcaja_ahorro___r_Visa_fultimo_cierre	0.00249505130302389	0.00655250302459685	0.00694904037061549
ccaja_ahorro___r_mcuenta_corriente	0.00248394931665329	0.00848742934722009	0.00694904037061549
ctrx_quarter___r_mcomisiones_mantenimiento	0.00246259115322342	0.00397736141734604	0.00694904037061549
ctrx_quarter___ctarjeta_debito	0.00245582916602187	0.00760146134738332	0.00794176042356056
r_mcuentas_saldo___ccomisiones_mantenimiento	0.00245332426705772	0.00279311816749526	0.00397088021178028
ctarjeta_visa___r_mcuenta_corriente	0.00243341633021562	0.00500649433262873	0.00463269358041032
ccomisiones_otras___r_mcomisiones_mantenimiento	0.0024223843493974	0.0085878429134544	0.00761085373924553
ctarjeta_debito___r_mcaja_ahorro	0.00241014891767744	0.00220058163705916	0.00363997352746526
tcallcenter	0.0023933821439838	0.00586343181200326	0.00264725347452019
r_mttarjeta_visa_debitos_automaticos	0.00234081923043243	0.00361670238992393	0.00562541363335539
r_matm	0.00233857949688569	0.00344756245971477	0.00661813368630046
r_Visa_fechaalta___r_Visa_fultimo_cierre	0.00223280589802208	0.00343822869388479	0.00463269358041032
r_mcomisiones_otras	0.00212916204899972	0.00824868821350963	0.00628722700198544
ccaja_ahorro___r_mcuentas_saldo	0.00212911882063719	0.00377222441368094	0.00496360026472535
r_mprestamos_personales___r_mcomisiones_mantenimiento	0.00212233635532526	0.00330475133966557	0.00562541363335539
ctarjeta_debito___r_mcuenta_corriente	0.00211674029403761	0.00522531356918175	0.00628722700198544
nulos___ccomisiones_otras	0.00203267858527478	0.00671557697191306	0.00529450694904037
ctrx_quarter___r_mcuenta_corriente	0.00202264437575235	0.0038938078099266	0.00397088021178028
ccaja_ahorro___r_Visa_fechaalta	0.00198152562490132	0.00228611649870027	0.00397088021178028
ctarjeta_debito___r_Visa_fechaalta	0.00197634054132241	0.00547261011884939	0.00628722700198544
r_mcomisiones_mantenimiento	0.00195395900375609	0.00187408637967359	0.00297816015883521
ccomisiones_otras___r_Visa_fultimo_cierre	0.00192351206833498	0.00309221679588711	0.00529450694904037
ccaja_seguridad	0.00189632393097184	0.00209575527733114	0.000661813368630046
r_Master_fultimo_cierre	0.00188480521433997	0.0046804043317885	0.00463269358041032
r_Visa_mpagosdolares	0.00188145135151865	0.00363398047057129	0.0043017868960953
r_mprestamos_personales___ccomisiones_mantenimiento	0.00188137439617785	0.0120124215376692	0.00661813368630046
ccaja_ahorro___r_mcomisiones_mantenimiento	0.00186113277288923	0.00270171030226851	0.00363997352746526
r_mcuenta_corriente	0.00185708470707114	0.00216664300954781	0.00397088021178028
r_Master_mlimitecompra	0.00184406174000696	0.0035046328735284	0.00529450694904037
ccaja_ahorro___r_mprestamos_personales	0.0018059946243159	0.00483460123096869	0.00330906684315023
nulos___r_Visa_fultimo_cierre	0.00179466730982852	0.00366531387743403	0.00529450694904037
r_mcomisiones_mantenimiento___r_Visa_fechaalta	0.00179267812930656	0.00408312694303628	0.00463269358041032
ccaja_ahorro___r_mcaja_ahorro	0.00177228023547268	0.00384835475041272	0.00529450694904037
r_mcuenta_corriente___r_mprestamos_personales	0.00171793201793029	0.00411812052409423	0.00463269358041032
cextraccion_autoservicio	0.00169769573183118	0.00985605145991355	0.00694904037061549
ccomisiones_otras___r_Visa_fechaalta	0.0016975256017298	0.00345016768036338	0.00595632031767042
r_mcomisiones_mantenimiento___r_Visa_fultimo_cierre	0.00168864294943453	0.00244489344010715	0.00363997352746526
r_Visa_mpagado	0.00165191133604434	0.00604710308405249	0.00463269358041032
r_mtransferencias_recibidas	0.0016093963406591	0.00356517691487352	0.00496360026472535
r_Master_msaldopesos	0.00158698542596528	0.00771724249912268	0.00496360026472535
r_Master_msaldodolares	0.00155453799384364	0.00335047457020967	0.00628722700198544
r_mcomisiones	0.00154147637591771	0.00235075813400383	0.00264725347452019
r_mextraccion_autoservicio	0.00154029141132586	0.00371755337592147	0.00529450694904037
r_mcuentas_saldo___r_Visa_fultimo_cierre	0.00153514879072532	0.00370546000599702	0.00496360026472535
ctransferencias_recibidas	0.00152708132999794	0.00445496590499492	0.0043017868960953
r_mcuenta_corriente___ccomisiones_otras	0.00144097547851853	0.00255997986634022	0.00496360026472535
ctarjeta_debito___r_Visa_fultimo_cierre	0.00143868130404116	0.00416006779285874	0.00529450694904037
ctarjeta_visa___r_mcaja_ahorro	0.00141470459056495	0.00263574354238812	0.00397088021178028
cdescubierto_preacordado___r_mcaja_ahorro	0.00141121188544078	0.00363216646508263	0.0043017868960953
internet	0.00140227229194521	0.00742625543428121	0.00330906684315023
r_mcuenta_corriente___r_mcuentas_saldo	0.00139242350530985	0.00276616539090834	0.00397088021178028
ctrx_quarter___cprestamos_personales	0.00138779454539686	0.00359952079893022	0.00132362673726009
r_Master_msaldototal	0.00137307455848644	0.00285440196285172	0.00397088021178028
r_mtarjeta_master_consumo	0.0013516212428843	0.00689541438839049	0.00363997352746526
cdescubierto_preacordado	0.00134986273306051	0.00149135051949579	0.000661813368630046
r_mpagomiscuentas	0.00129466539685453	0.00278116631572951	0.00363997352746526
ctarjeta_visa_debitos_automaticos	0.0012927824762959	0.00365783271295418	0.00397088021178028
r_mcuenta_corriente___r_mcaja_ahorro	0.00129121389619563	0.00502960682100028	0.00496360026472535
ccajas_transacciones	0.0012811425052725	0.00410562833026803	0.00165453342157512
r_matm_other	0.0012758503313028	0.00194195720205272	0.00363997352746526
r_Visa_mlimitecompra	0.00125758576366045	0.00394841452125031	0.00463269358041032
r_mcaja_ahorro___ccomisiones_otras	0.00124931872656395	0.00230527291127206	0.00463269358041032
ctarjeta_debito_transacciones	0.0012217746244874	0.00320254306587332	0.00529450694904037
ctransferencias_emitidas	0.00121392706475879	0.0027391354225985	0.00297816015883521
cdescubierto_preacordado___r_Visa_fechaalta	0.00120717274890047	0.00234357930377209	0.00297816015883521
ctrx_quarter___ccomisiones_mantenimiento	0.001183693887723	0.00352319105024755	0.00330906684315023
r_Visa_mconsumototal	0.00115939397631868	0.00320399041067811	0.0043017868960953
ctrx_quarter	0.0011270126326993	0.00157301936234722	0.00297816015883521
ctarjeta_debito___ccomisiones_otras	0.00111604201384336	0.00223125248163348	0.00330906684315023
ctarjeta_visa___ccomisiones_otras	0.00107696972862899	0.003049381822309	0.00264725347452019
r_Master_mconsumospesos	0.00106743107099847	0.00355025961441885	0.00264725347452019
r_mprestamos_personales___r_Visa_fultimo_cierre	0.00100325722861678	0.00189034166999224	0.00363997352746526
r_mprestamos_personales___r_Visa_fechaalta	0.000975823960572639	0.00119354485246288	0.00297816015883521
r_Visa_msaldodolares	0.000966451318931282	0.00257043291215256	0.00264725347452019
r_Master_mpagominimo	0.00096186771347882	0.00207079662025304	0.00363997352746526
r_Master_mpagospesos	0.000945943365299353	0.00603431498862175	0.00330906684315023
r_mcaja_ahorro	0.0009430605190133	0.0008814329861151	0.00198544010589014
r_Visa_fechaalta	0.000929150904675082	0.000932681857491703	0.00198544010589014
ctarjeta_visa___r_mprestamos_personales	0.000920757556293725	0.00106887378730034	0.00198544010589014
r_mplazo_fijo_dolares	0.000909002908391494	0.00495720741754306	0.00231634679020516
Visa_status	0.000905405204268587	0.0140555577905418	0.00496360026472535
r_mcuenta_corriente___r_Visa_fultimo_cierre	0.000889254213503341	0.00235740305481869	0.00330906684315023
ccaja_ahorro___ccomisiones_otras	0.000867089892624613	0.00241969034257314	0.00264725347452019
cpagomiscuentas	0.000834336484498293	0.00212852959635509	0.00231634679020516
ctrx_quarter___ccaja_ahorro	0.00083010700602652	0.00223002384671031	0.00297816015883521
cdescubierto_preacordado___nulos	0.000786429956235901	0.00269461509640326	0.00132362673726009
cprestamos_personales___r_mcomisiones_mantenimiento	0.0007798285798118	0.00133374431921989	0.00198544010589014
nulos___r_mcaja_ahorro	0.000770116502464755	0.00201223383312958	0.00231634679020516
catm_trx	0.000748986768372814	0.00478541723818025	0.00330906684315023
cdescubierto_preacordado___r_mcomisiones_mantenimiento	0.000724535415531645	0.00164505210512056	0.00264725347452019
nulos___r_mprestamos_personales	0.000709903087249218	0.0025832210075833	0.00231634679020516
ctarjeta_visa___r_mcomisiones_mantenimiento	0.000689638972282359	0.0012421241767551	0.00198544010589014
ctarjeta_debito___nulos	0.00061459191088097	0.000713849755651531	0.00165453342157512
r_mcaja_ahorro___ccomisiones_mantenimiento	0.000573883791427664	0.000842811394079814	0.00165453342157512
r_mttarjeta_master_debitos_automaticos	0.000549787825588062	0.000719542645217025	0.00165453342157512
ctrx_quarter___ccomisiones_otras	0.000542465998602798	0.00145344938354111	0.00330906684315023
r_Visa_madelantopesos	0.000540058645371134	0.000786660848297667	0.00198544010589014
ccaja_ahorro___r_Visa_fultimo_cierre	0.000535201447624822	0.000805193294442514	0.00198544010589014
ccaja_ahorro___ccomisiones_mantenimiento	0.000522708082374827	0.00419010180571896	0.00165453342157512
r_Master_mpagado	0.000468565218877157	0.000638954486486502	0.00132362673726009
nulos___cprestamos_personales	0.000463758316514896	0.000381397870313814	0.000330906684315023
r_Master_mpagosdolares	0.000415779247478441	0.00606259288978549	0.00231634679020516
r_mpagodeservicios	0.000399432576609089	0.000553509681855472	0.000992720052945069
r_mtarjeta_visa_descuentos	0.000393407124411717	0.0006396492119928	0.00132362673726009
ccuenta_debitos_automaticos	0.00036741299943002	0.000634297252536877	0.00132362673726009
r_Master_mconsumosdolares	0.000360647688196922	0.000525328270345381	0.000992720052945069
ctarjeta_master	0.000340022938478433	0.00192711709332097	0.000661813368630046
ctarjeta_visa___nulos	0.000338394169463553	0.000707951021491578	0.000992720052945069
cplazo_fijo	0.000332889319787161	0.00407066691242796	0.00132362673726009
r_Visa_madelantodolares	0.000302018350499651	0.000625240090380701	0.000992720052945069
ccomisiones_otras	0.000300011731001133	0.00042261825035414	0.000661813368630046
r_Visa_fultimo_cierre	0.000284754096836512	0.000258920336610975	0.000661813368630046
r_minversion1_pesos	0.000264685610686409	0.000197488590452251	0.000661813368630046
ctrx_quarter___r_mcuentas_saldo	0.000252280669524064	0.00163617505698454	0.00297816015883521
cdescubierto_preacordado___ccomisiones_otras	0.000247186694761092	0.000459908285169022	0.000661813368630046
ccaja_ahorro___ctarjeta_debito	0.000243036215943588	0.000377525418880563	0.000992720052945069
r_Master_mconsumototal	0.000240444309257382	0.000636079094807659	0.000661813368630046
r_mplazo_fijo_pesos	0.000229279846027702	0.000235486216060585	0.000661813368630046
r_mforex_sell	0.000222728983697589	0.000364537911498944	0.000661813368630046
r_minversion2	0.000221945280668593	0.000710890739606189	0.000661813368630046
r_mtarjeta_master_descuentos	0.000180501031014531	0.000215583616833873	0.000661813368630046
ctarjeta_master_transacciones	0.000175079952654929	0.000318370828548036	0.000330906684315023
campo5	0.000173694847592043	0.00314363291599671	0.000992720052945069
moroso2	0.000165276268835407	0.000219533259990047	0.000661813368630046
Master_cconsumos	0.000160936160170972	0.000250371353297369	0.000330906684315023
r_mprestamos_hipotecarios	0.000153681210396453	0.000176524605035363	0.000330906684315023
r_mcheques_emitidos	0.000142174323461324	0.00041184357236295	0.000992720052945069
ctarjeta_visa___r_Visa_fultimo_cierre	0.000107113609199238	0.000101976698623482	0.000330906684315023
r_mcheques_depositados	0.000106800307973503	0.000541081814465037	0.000992720052945069
cdescubierto_preacordado___ctarjeta_debito	8.53557771674243e-05	0.000196832460807414	0.000330906684315023
r_mprestamos_prendarios	8.35634630745066e-05	0.000141009979847686	0.000330906684315023
ccomisiones_otras___ccomisiones_mantenimiento	7.3597753631512e-05	9.42896895491709e-05	0.000330906684315023
cprestamos_personales___ccomisiones_otras	7.00173195237329e-05	0.000156486920293538	0.000330906684315023
cseguro_accidentes_personales	6.49816074356452e-05	0.000568986622301324	0.000330906684315023
ctarjeta_debito___ccomisiones_mantenimiento	6.23365198396836e-05	0.000834931405698198	0.000330906684315023
cseguro_vida	4.88518830427604e-05	0.000968884775542101	0.000330906684315023
r_mforex_buy	2.68428976338521e-05	9.46499175894733e-05	0.000330906684315023
ccaja_ahorro___cprestamos_personales	2.14263680514789e-05	9.24370881990439e-05	0.000330906684315023
r_Master_madelantodolares	8.48768038669237e-06	0.000101545711503835	0.000330906684315023
