fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 024205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	102191	0.0479530902672208	0.627506304773188	6997	554	8559	25930000	38
20221001 024300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	402	TRUE	102191	0.0219765158294171	0.354504115366864	500	16	8540	2.7e+07	39
20221001 024337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	102191	0.021590426917233	0.441254635601305	2538	16	8429	26270000	40
20221001 024929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1073	TRUE	102191	0.00536072803762214	0.77271398046283	2815	1024	8366	26150000	41
20221001 024957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	102191	0.0334216128834005	0.643141617784149	634	18	8781	26520000	42
20221001 025235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	372	TRUE	102191	0.0144576105361222	0.20775384193983	500	130	8114	27140000	43
20221001 025259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	102191	0.070878547306694	0.202437358849073	5082	113	7811	25500000	44
20221001 025716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	592	TRUE	102191	0.00632435710114852	0.308508935631214	503	123	8207	26470000	45
20221001 025829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	225	TRUE	102191	0.0173116853749927	0.249212235307463	516	68	8467	26350000	46
20221001 030235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	448	TRUE	102191	0.00861687496059556	0.200370452505917	701	404	5788	25390000	47
20221001 030638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1090	TRUE	102191	0.00554980734845861	0.200080005112624	863	55	9314	26500000	48
20221001 031130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	512	TRUE	102191	0.0112663025249947	0.200352900712223	506	968	8303	26600000	49
20221001 031420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	102191	0.0161963163169962	0.389650709739288	500	674	8248	26870000	50
20221001 032437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1007	TRUE	102191	0.00509249811677008	0.654978810488852	653	635	12328	25670000	51
20221001 032505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	102191	0.0425388230912224	0.99967827876063	1079	20	5112	23780000	52
20221001 032944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1139	TRUE	102191	0.005572077642004	0.99925932573322	7955	934	10063	25400000	53
20221001 032957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	102191	0.29374365703668	0.20051480387312	7974	1021	10273	24740000	54
20221001 033405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1378	TRUE	102191	0.00559740102861508	0.363864357239531	7998	1018	8139	26290000	55
20221001 033429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	102191	0.299887122539283	0.761725708568633	7992	16	8207	25030000	56
20221001 033947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1404	TRUE	102191	0.00526032794829704	0.770136401884311	7997	17	10221	25720000	57
20221001 034239	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	102191	0.0152017417713071	0.200063108938019	513	468	8433	26580000	58
20221001 034250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	102191	0.207451523781754	0.381216573902595	7998	1024	7927	24950000	59
20221001 034425	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	102191	0.0253151007769272	0.765213732350141	581	576	9202	26240000	60
20221001 034612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	102191	0.0136916180368485	0.410280460825384	1101	115	8321	26560000	61
20221001 034852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	271	TRUE	102191	0.0227788498788367	0.280377002605236	526	777	7442	26480000	62
20221001 035109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	194	TRUE	102191	0.0162938957107459	0.602524004171467	994	716	5661	25240000	63
20221001 035411	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	102191	0.0160281702633498	0.4608005863826	535	859	11380	26280000	64
20221001 035812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	102191	0.0117321628213332	0.822437125150331	502	643	9221	26760000	65
20221001 035919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	102191	0.0264043310681624	0.200012907808705	547	93	7884	25920000	66
20221001 040044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	102191	0.0337022813638592	0.899765013437754	1065	733	9021	26920000	67
20221001 040132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	102191	0.0354682631158868	0.788134138598982	4718	731	9489	25430000	68
20221001 040251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	102191	0.0326532357528898	0.985899123632775	730	285	7303	26760000	69
20221001 040528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	327	TRUE	102191	0.0153820467851241	0.918970658808979	517	136	9785	27070000	70
20221001 040813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	102191	0.0159859021171028	0.831964849046273	506	425	9867	26590000	71
20221001 041254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	290	TRUE	102191	0.0100501598990162	0.989163202545342	516	254	9419	26690000	72
20221001 041502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	102191	0.0143519673634897	0.969656337381691	533	139	9036	27130000	73
20221001 041702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	102191	0.0334255748098699	0.978488930487271	504	240	11805	26310000	74
20221001 041829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	102191	0.0318839219172957	0.941592989705111	732	1000	8230	27220000	75
20221001 041957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	102191	0.0310266068004494	0.872197226042757	504	785	8056	26610000	76
20221001 042129	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	102191	0.0331000280032955	0.996381853872852	553	830	8247	26230000	77
20221001 042230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	102191	0.0321005210626516	0.79407622618882	2252	547	9259	26530000	78
