Feature	Gain	Cover	Frequency
ctrx_quarter___r_mcaja_ahorro	0.287014184022106	0.0497838620637369	0.0263076923076923
campo1	0.113016556814033	0.00288932869932224	0.000615384615384615
r_mpayroll	0.0581455861853384	0.0636966821950821	0.0253846153846154
cpayroll_trx	0.0358348077975979	0.0330450339667677	0.00453846153846154
r_mrentabilidad_annual	0.0323499855322841	0.0267879836088587	0.0401538461538462
r_mtarjeta_visa_consumo	0.0215320912637723	0.0203638769102594	0.0169230769230769
r_mprestamos_personales	0.0214470528071601	0.0124346850799088	0.0112307692307692
r_mpasivos_margen	0.0189782803206953	0.0150717555623207	0.0164615384615385
r_Visa_mpagominimo	0.0141188621615087	0.017578529750221	0.0216153846153846
cdescubierto_preacordado___ctarjeta_visa	0.0139634380772501	0.00947494459914003	0.00169230769230769
ctrx_quarter___ctarjeta_visa	0.0125924999782816	0.0201337252738051	0.00946153846153846
r_mcomisiones_mantenimiento___ccomisiones_mantenimiento	0.0123517893067376	0.0198635549883051	0.00976923076923077
ctrx_quarter___cdescubierto_preacordado	0.0122952918849626	0.0347718270596199	0.0192307692307692
r_mactivos_margen	0.0120074530965166	0.015750952237879	0.018
r_mprestamos_personales___cprestamos_personales	0.0113010345889867	0.0027848074752869	0.00392307692307692
Visa_status	0.0107080385352443	0.0104712914593939	0.002
nulos___r_mcomisiones_mantenimiento	0.0104037037078364	0.0141032263768559	0.0198461538461538
ctarjeta_visa___r_mcuentas_saldo	0.010081324811379	0.00973279094423743	0.00784615384615385
cliente_edad	0.0095327972541485	0.0117425769590285	0.0230769230769231
r_mcuenta_corriente___r_mcomisiones_mantenimiento	0.00872331780102548	0.0136617574186313	0.0233846153846154
r_mrentabilidad	0.00854385452903023	0.0068520083920569	0.0118461538461538
nulos___r_Visa_fechaalta	0.00810536842582351	0.00464022315677556	0.0114615384615385
Master_status	0.00784033453811298	0.00414972486359007	0.00169230769230769
ccajas_consultas	0.00742141081778805	0.00314252965668474	0.00184615384615385
Visa_cconsumos	0.00735715259874377	0.0258267504147187	0.0278461538461538
r_Master_Fvencimiento	0.00727563986993554	0.00852250348443361	0.017
