fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220924 145035	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	102191	0.105192750553484	0.623992463517934	6986	269	9111	26020000	1
20220924 145104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	102191	0.138176880823157	0.478532418459654	4378	586	8305	25710000	2
20220924 145140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	102191	0.0765797865299974	0.675558242565021	4866	182	10628	26190000	3
20220924 145216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	102191	0.161773240936396	0.699328542696312	1595	813	13070	23940000	4
20220924 145246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	102191	0.207751289901498	0.519871923634782	5209	836	10255	25650000	5
20220924 145307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	102191	0.232077299806464	0.213761043082923	2028	992	6609	25190000	6
20220924 145331	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	102191	0.177385449328111	0.73185745713301	3866	85	9536	25490000	7
20220924 145402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	102191	0.25762131403113	0.352792696719989	1182	433	5822	24120000	8
20220924 145456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	102191	0.0540418782632914	0.866345425052568	691	725	11943	25720000	9
20220924 145603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	287	TRUE	102191	0.0475161055464996	0.927736244564876	6199	711	8799	26810000	10
20220924 145657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	102191	0.0849538475936279	0.572705257954076	5785	929	14657	23570000	11
20220924 145830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	324	TRUE	102191	0.019241338228283	0.361384937502444	4636	342	7801	26240000	12
20220924 145904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	102191	0.223597417329729	0.265979569423944	2807	550	11341	24680000	13
20220924 145918	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	102191	0.271588791848801	0.784196923617274	6722	159	12196	25290000	14
20220924 145954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	102191	0.136946855536255	0.316360653378069	7750	383	14151	23780000	15
20220924 150006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	102191	0.248575510650291	0.81343388707377	1692	25	5387	23310000	16
20220924 150020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	102191	0.290736060154741	0.969553614445031	3500	885	12975	24450000	17
20220924 150226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	102191	0.112894534861611	0.540773703046143	69	622	7324	25200000	18
20220924 150406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	403	TRUE	102191	0.025703881320951	0.913213783930987	2677	252	13632	24740000	19
20220924 150426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	102191	0.195764421339205	0.402039238531142	7288	480	6018	24530000	20
20220924 151105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1977	TRUE	102191	0.00506732310659242	0.995958555408902	4981	735	9478	26170000	21
20220924 151138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	102191	0.0529722102043666	0.710695506697432	6070	1024	8533	26460000	22
20220924 151217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	102191	0.0540789186514367	0.99787298795564	4733	496	8799	26010000	23
20220924 151306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236	TRUE	102191	0.0475796039026836	0.871555348511209	7429	706	9932	25980000	24
20220924 152056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2323	TRUE	102191	0.00512998068710269	0.902717331630574	6271	793	7902	27160000	25
20220924 152635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1740	TRUE	102191	0.00553392644670861	0.953016458058786	6406	1024	7358	26570000	26
20220924 153209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1175	TRUE	102191	0.00542211435379742	0.562256358181966	6368	745	7854	26620000	27
20220924 153903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2266	TRUE	102191	0.00505725447804477	0.841297602163682	6210	73	8100	2.7e+07	28
20220924 154526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2014	TRUE	102191	0.00526069050561947	0.839541756269184	6148	536	8045	27110000	29
